EnemyType(0はテスト用),ShotType(0はテスト用),MovePattern(0はテスト用),FirePattern(0はテスト用),StartTime(ステージの経過時間),Stop,Fire(攻撃開始),Return,Xpos,Ypos,ShotSpeed,HP,Item
1,0,0,0,200,180,100,210,50,-80,7,30,0
1,0,1,0,220,180,100,210,320,-80,7,30,0
1,0,2,0,260,180,100,210,100,-80,7,30,0
1,0,3,0,280,180,100,210,400,-80,7,30,0
0,0,0,0,700,100,100,180,80,-10,7,1,0
0,0,0,0,720,100,100,180,90,-10,6,1,0
0,0,0,0,740,100,100,180,30,-10,6,1,0
0,0,0,0,760,100,100,180,80,-10,6,1,0
0,0,0,0,780,100,100,180,490,-10,6,1,0
0,0,0,0,800,100,100,180,530,-10,6,1,0
0,0,0,0,820,100,100,180,470,-10,6,1,0
0,0,0,0,840,100,100,180,520,-10,6,1,0
0,0,0,0,860,100,100,180,50,-10,6,1,0
0,0,0,0,880,100,100,180,90,-10,6,1,0
0,0,0,0,900,100,100,180,30,-10,6,1,0
0,0,0,0,920,100,100,180,80,-10,6,1,0
0,0,0,0,940,100,100,180,490,-10,6,1,0
0,0,0,0,960,100,100,180,530,-10,6,1,0
0,0,0,0,980,100,100,180,470,-10,6,1,0
0,0,0,0,1000,100,100,180,520,-10,6,1,0
2,0,0,0,1020,70,100,120,80,-70,7,10,0
2,0,1,0,1040,70,100,120,490,-70,7,10,0
2,0,0,0,1060,70,100,120,90,-70,7,10,0
2,0,1,0,1080,70,100,120,530,-70,7,10,0
2,0,0,0,1100,70,100,120,30,-70,7,10,0
2,0,1,0,1120,70,100,120,470,-70,7,10,0
2,0,0,0,1140,70,100,120,80,-70,7,10,0
2,0,1,0,1160,70,100,120,520,-70,7,10,0
0,0,0,0,1180,100,100,180,50,-10,6,1,0
0,0,0,0,1200,100,100,180,90,-10,6,1,0
0,0,0,0,1220,100,100,180,30,-10,6,1,0
0,0,0,0,1240,100,100,180,80,-10,6,1,0
0,0,0,0,1260,100,100,180,100,-10,6,1,0
0,0,0,0,1280,100,100,180,120,-10,6,1,0
0,0,0,0,1300,100,100,180,140,-10,6,1,0
0,0,0,0,1320,100,100,180,160,-10,6,1,0
0,0,0,0,1340,100,100,180,180,-10,6,1,0
0,0,0,0,1360,100,100,180,50,-10,6,1,0
0,0,0,0,1380,100,100,180,90,-10,6,1,0
0,0,0,0,1400,100,100,180,30,-10,6,1,0
0,0,0,0,1420,100,100,180,80,-10,6,1,0
0,0,0,0,1440,100,100,180,490,-10,6,1,0
0,0,0,0,1460,100,100,180,530,-10,6,1,0
0,0,0,0,1480,100,100,180,470,-10,6,1,0
0,0,0,0,1500,100,100,180,520,-10,6,1,0
0,0,0,0,1520,100,100,180,360,-10,6,1,0
0,0,0,0,1540,100,100,180,380,-10,6,1,0
0,0,0,0,1560,100,100,180,400,-10,6,1,0
0,0,0,0,1580,100,100,180,50,-10,6,1,0
0,0,0,0,1600,100,100,180,90,-10,6,1,0
0,0,0,0,1620,100,100,180,30,-10,6,1,0
0,0,0,0,1640,100,100,180,80,-10,6,1,0
0,0,0,0,1660,100,100,180,490,-10,6,1,0
0,0,0,0,1680,100,100,180,530,-10,6,1,0
0,0,0,0,1700,100,100,180,470,-10,6,1,0
0,0,0,0,1720,100,100,180,520,-10,6,1,0
0,0,0,0,1740,100,100,180,360,-10,6,1,0
0,0,0,0,1760,100,100,180,380,-10,6,1,0
0,0,0,0,1780,100,100,180,400,-10,6,1,0
0,0,0,0,1800,100,100,180,180,-10,6,1,0
0,0,0,0,1800,100,100,180,50,-10,6,1,0
0,0,0,0,1800,100,100,180,90,-10,6,1,0
0,0,0,0,1800,100,100,180,30,-10,6,1,0
0,0,0,0,1800,100,100,180,80,-10,6,1,0
0,0,0,0,1800,100,100,180,490,-10,6,1,0
0,0,0,0,1800,100,100,180,530,-10,6,1,0
0,0,0,0,1800,100,100,180,470,-10,6,1,0
0,0,0,0,1800,100,100,180,520,-10,6,1,0
