EnemyType(0はテスト用),ShotType(0はテスト用),MovePattern(0はテスト用),FirePattern(0はテスト用),StartTime(ステージの経過時間),Stop,Fire(攻撃開始),Return,Xpos,Ypos,ShotSpeed,HP,Item
0,0,0,0,660,100,100,180,80,-10,7,1,0
0,0,0,0,680,100,100,180,90,-10,6,1,0
0,0,0,0,700,100,100,180,30,-10,6,1,0
0,0,0,0,720,100,100,180,80,-10,6,1,0
0,0,0,0,740,100,100,180,490,-10,6,1,0
0,0,0,0,760,100,100,180,530,-10,6,1,0
0,0,0,0,780,100,100,180,470,-10,6,1,0
0,0,0,0,800,100,100,180,520,-10,6,1,0
0,0,0,0,820,100,100,180,50,-10,6,1,0
0,0,0,0,840,100,100,180,90,-10,6,1,0
0,0,0,0,860,100,100,180,30,-10,6,1,0
0,0,0,0,880,100,100,180,80,-10,6,1,0
0,0,0,0,1000,100,100,180,490,-10,6,1,0
0,0,0,0,1020,100,100,180,530,-10,6,1,0
0,0,0,0,1040,100,100,180,470,-10,6,1,0
0,0,0,0,1060,100,100,180,520,-10,6,1,0
2,0,0,0,1180,70,100,120,80,-70,7,10,0
2,0,1,0,1200,70,100,120,490,-70,7,10,0
2,0,0,0,1220,70,100,120,90,-70,7,10,0
2,0,1,0,1240,70,100,120,530,-70,7,10,0
2,0,0,0,1260,70,100,120,30,-70,7,10,0
2,0,1,0,1280,70,100,120,470,-70,7,10,0
2,0,0,0,1300,70,100,120,80,-70,7,10,0
2,0,1,0,1320,70,100,120,520,-70,7,10,0
2,0,1,0,1820,70,100,120,520,-70,7,10,0
2,0,0,0,1840,70,100,120,80,-70,7,10,0
2,0,1,0,1860,70,100,120,470,-70,7,10,0
2,0,0,0,1880,70,100,120,30,-70,7,10,0
2,0,1,0,1900,70,100,120,530,-70,7,10,0
2,0,0,0,1920,70,100,120,90,-70,7,10,0
2,0,1,0,1940,70,100,120,490,-70,7,10,0
2,0,0,0,1960,70,100,120,80,-70,7,10,0
0,0,0,0,2160,100,100,180,50,-10,6,1,0
0,0,0,0,2180,100,100,180,90,-10,6,1,0
0,0,0,0,2200,100,100,180,30,-10,6,1,0
0,0,0,0,2220,100,100,180,80,-10,6,1,0
0,0,0,0,2240,100,100,180,100,-10,6,1,0
0,0,0,0,2260,100,100,180,120,-10,6,1,0
0,0,0,0,2280,100,100,180,140,-10,6,1,0
0,0,0,0,2300,100,100,180,160,-10,6,1,0
0,0,0,0,2320,100,100,180,180,-10,6,1,0
0,0,0,0,2340,100,100,180,50,-10,6,1,0
0,0,0,0,2360,100,100,180,90,-10,6,1,0
0,0,0,0,2380,100,100,180,30,-10,6,1,0
0,0,0,0,2400,100,100,180,80,-10,6,1,0
0,0,0,0,2420,100,100,180,490,-10,6,1,0
0,0,0,0,2440,100,100,180,530,-10,6,1,0
0,0,0,0,2460,100,100,180,470,-10,6,1,0
0,0,0,0,2480,100,100,180,520,-10,6,1,0
0,0,0,0,2500,100,100,180,360,-10,6,1,0
0,0,0,0,2520,100,100,180,380,-10,6,1,0
0,0,0,0,2540,100,100,180,400,-10,6,1,0
0,0,0,0,2560,100,100,180,50,-10,6,1,0
0,0,0,0,2580,100,100,180,90,-10,6,1,0
0,0,0,0,2600,100,100,180,30,-10,6,1,0
0,0,0,0,2620,100,100,180,80,-10,6,1,0
4,4,4,4,2640,100,100,180,320,-70,4,80,0
0,0,0,0,2660,100,100,180,490,-10,6,1,0
0,0,0,0,2680,100,100,180,530,-10,6,1,0
0,0,0,0,2700,100,100,180,470,-10,6,1,0
0,0,0,0,2720,100,100,180,520,-10,6,1,0
0,0,0,0,2740,100,100,180,360,-10,6,1,0
0,0,0,0,2760,100,100,180,380,-10,6,1,0
0,0,0,0,2760,100,100,180,400,-10,6,1,0
0,0,0,0,2760,100,100,180,180,-10,6,1,0
0,0,0,0,2760,100,100,180,50,-10,6,1,0
0,0,0,0,2760,100,100,180,90,-10,6,1,0
0,0,0,0,2760,100,100,180,30,-10,6,1,0
0,0,0,0,2760,100,100,180,80,-10,6,1,0
0,0,0,0,2760,100,100,180,490,-10,6,1,0
0,0,0,0,2760,100,100,180,530,-10,6,1,0
0,0,0,0,2760,100,100,180,470,-10,6,1,0
0,0,0,0,2760,100,100,180,520,-10,6,1,0
